Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
FRC^I,FIRST REPUBLIC BANK,27.37,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/frc^i
FRC^J,FIRST REPUBLIC BANK,26.35,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/frc^j
FRC^K,FIRST REPUBLIC BANK,25.52,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/frc^k
FFA,First Trust,16,319725408,n/a,2004,n/a,n/a,https://old.nasdaq.com/symbol/ffa
FMY,First Trust,13.72,57803937.8,n/a,2005,n/a,n/a,https://old.nasdaq.com/symbol/fmy
FDEU,First Trust Dynamic Europe Equity Income Fund,10.77,185587649.2,n/a,2015,n/a,n/a,https://old.nasdaq.com/symbol/fdeu
FIF,First Trust Energy Infrastructure Fund,10.05,176379871.8,n/a,2011,n/a,n/a,https://old.nasdaq.com/symbol/fif
FSD,First Trust High Income Long Short Fund,14.02,478796613.4,n/a,2010,n/a,n/a,https://old.nasdaq.com/symbol/fsd
FTHY,First Trust High Yield Opportunities 2027 Term Fund,20.0305,0,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/fthy
FPF,First Trust Intermediate Duration Preferred & Income Fund,22.35,1358120033,n/a,2013,n/a,n/a,https://old.nasdaq.com/symbol/fpf
FEI           ,First Trust MLP and Energy Income Fund,5.43,255249313.2,n/a,2012,n/a,n/a,https://old.nasdaq.com/symbol/fei
FPL,First Trust New Opportunities MLP & Energy Fund,3.95,101575755,n/a,2014,n/a,n/a,https://old.nasdaq.com/symbol/fpl
FIV,First Trust Senior Floating Rate 2022 Target Term Fund,8.73,312809597.4,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/fiv
FCT,First Trust Senior Floating Rate Income Fund II,11.03,294136888.7,n/a,2004,n/a,n/a,https://old.nasdaq.com/symbol/fct
FGB,First Trust Specialty Finance and Financial Opportunities Fund,2.99,42959097.09,n/a,2007,n/a,n/a,https://old.nasdaq.com/symbol/fgb
FEO,First Trust/Aberdeen Emerging Opportunity Fund,12.95,65103806.95,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/feo
FAM,First Trust/Aberdeen Global Opportunity Income Fund,9.9,125645968.8,n/a,2006,n/a,n/a,https://old.nasdaq.com/symbol/fam
FE,FirstEnergy Corp.,29.79,16149468399,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/fe
FMAC.U,FirstMark Horizon Acquisition Corp.,n/a,0,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/fmac.u
FSR,Fisker Inc.,14,3881613442,n/a,2018,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/fsr
FSR.WS,Fisker Inc.,n/a,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fsr.ws
FIT,"Fitbit, Inc.",7.13,1942699350,n/a,2015,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/fit
FPH,"Five Point Holdings, LLC",4.74,702982754.5,n/a,2017,Finance,Real Estate,https://old.nasdaq.com/symbol/fph
FVRR,Fiverr International Ltd.,160.7,5643339986,n/a,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/fvrr
FBC,"Flagstar Bancorp, Inc.",32.57,1712020261,n/a,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fbc
