Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BBU,Brookfield Business Partners L.P.,35.03,2799360412.0,,2016.0,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/bbu
BAMH,Brookfield Finance Inc.,25.13,0.0,,2020.0,Consumer Services,Building operators,https://old.nasdaq.com/symbol/bamh
BIPC,Brookfield Infrastructure Corporation,68.2,3070290412.0,,2020.0,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/bipc
BIP,Brookfield Infrastructure Partners LP,50.85,15015217130.0,,,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/bip
BEPC,Brookfield Renewable Corporation,74.04,17857797485.0,,2020.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/bepc
BEP,Brookfield Renewable Partners L.P.,59.39,10880216345.0,,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/bep
BRO,"Brown & Brown, Inc.",46.97,13342253109.0,,,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/bro
BRT,BRT Apartments Corp.,13.54,222492746.2,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brt
BC,Brunswick Corporation,70.51,5523937149.0,,,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/bc
BKE,"Buckle, Inc. (The)",29.05,1435294586.0,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/bke
BVN,Buenaventura Mining Company Inc.,11.94,3032603192.0,,1996.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/bvn
BBW,"Build-A-Bear Workshop, Inc.",4.09,63769451.77,,2004.0,Consumer Services,Recreational Products/Toys,https://old.nasdaq.com/symbol/bbw
BG,Bunge Limited,58.9,8226013286.0,,2001.0,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/bg
BUR,Burford Capital Limited,9.58,2098497822.0,,2020.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/bur
BURL,"Burlington Stores, Inc.",221.51,14655893055.0,,2013.0,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/burl
BWXT,"BWX Technologies, Inc.",55.55,5294446114.0,,,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/bwxt
BY,"Byline Bancorp, Inc.",15.45,596121270.5,,2017.0,Finance,Major Banks,https://old.nasdaq.com/symbol/by
CABO,"Cable One, Inc.",1893.39,11407042358.0,,2015.0,Consumer Services,Television Services,https://old.nasdaq.com/symbol/cabo
CBT,Cabot Corporation,41.56,2346541727.0,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/cbt
COG,Cabot Oil & Gas Corporation,17.28,6887460344.0,,1990.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cog
CACI,"CACI International, Inc.",232.96,5874972114.0,,,Technology,EDP Services,https://old.nasdaq.com/symbol/caci
WHD,"Cactus, Inc.",22.74,1713799304.0,,2018.0,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/whd
CADE,Cadence Bancorporation,13.7,1725471064.0,,2017.0,Finance,Major Banks,https://old.nasdaq.com/symbol/cade
CAE,CAE Inc,22.66,6020870813.0,,,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cae
CAI,"CAI International, Inc.",30.34,538305720.6,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/cai
CAL,"Caleres, Inc.",10.61,402247975.2,,,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/cal
CRC,California Resources Corporation,13.6,673175887.2,,2020.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crc
CWT,California Water  Service Group Holding,53.17,2649992800.0,,,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/cwt
CALX,"Calix, Inc",23.24,1435603265.0,,2010.0,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/calx
ELY,Callaway Golf Company,17.09,1609528458.0,,1992.0,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/ely
CPE,Callon Petroleum Company,6.57,261175055.0,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cpe
CPT,Camden Property Trust,100.0,9739555900.0,,1993.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cpt
CCJ,Cameco Corporation,10.13,4009922067.0,,1996.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ccj
CPB,Campbell Soup Company,48.29,14596672723.0,,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/cpb
CWH,"Camping World Holdings, Inc.",26.07,2313880756.0,,2016.0,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/cwh
GOOS,Canada Goose Holdings Inc.,33.97,3741682516.0,,2017.0,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/goos
CM,Canadian Imperial Bank of Commerce,81.51,36354184461.0,,,Finance,Commercial Banks,https://old.nasdaq.com/symbol/cm
CNI,Canadian National Railway Company,108.69,77191638000.0,,,Transportation,Railroads,https://old.nasdaq.com/symbol/cni
CNQ,Canadian Natural Resources Limited,21.41,25286451780.0,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnq
CP,Canadian Pacific Railway Limited,328.1,44129122884.0,,,Transportation,Railroads,https://old.nasdaq.com/symbol/cp
CANG,Cango Inc.,5.64,851489914.0,,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cang
CNNE,"Cannae Holdings, Inc.",40.53,3714827610.0,,2017.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cnne
CAJ,"Canon, Inc.",18.12,18949460884.0,,,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/caj
CGC,Canopy Growth Corporation,24.25,9003349201.0,,,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/cgc
CMD,Cantel Medical Corp.,54.5,2297858212.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cmd
COF,Capital One Financial Corporation,84.67,38728058000.0,,1994.0,Finance,Major Banks,https://old.nasdaq.com/symbol/cof
CSU,Capital Senior Living Corporation,0.5794,18204239.87,,1997.0,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/csu
